"did1","did2","dataset_name1","dataset_name2","num_instances","num_attributes","dimensionality","num_numeric_attr","pct_numeric_attr","num_nominal_attr","pct_nominal_attr","avg_nominal_values","sd_nominal_values","min_nominal_values","max_nominal_values","avg_numeric_mean","sd_numeric_mean","min_numeric_mean","max_numeric_mean","missing_attr_cnt","missing_attr_pct","missing_instances_max_cnt","missing_instances_max_pct","missing_instances_min_cnt","missing_instances_min_pct","missing_instances_mean","missing_instances_mean_pct","datesets_subject_main_match","datesets_duplicates_match"
171,185,"primary-tumor","baseball",0.747015,0,0.747015,1,1,0.833333,0.833333,0.992834,0.993118,0.333333,0.984317,1,1,0,1,0.8,0.8,0.870968,0.967357,0.95,0.80236,0.911111,0.977512,0,0
171,6331,"primary-tumor","LoanDefaultPrediction",0.996786,0.976654,0.862327,1,1,0.666667,0.992218,0.870246,0.838809,0,0.671875,1,1,1,1,0.990476,0.592063,0.99177,0.60947,0,0.996786,0.987738,0.73788,0,0
171,1090,"primary-tumor","MercuryinBass",0.843658,0.333333,0.765487,1,1,0.944444,0.916667,0.939203,1,0.962264,0.603774,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,575,"primary-tumor","kdd_coil_4",0.0678466,0.333333,0.28481,1,1,0.833333,0.75,0.0333333,0.891071,0.333333,0.809524,1,1,1,1,0.375,0.583333,0.851613,0.840813,0.5,0.533923,0.626667,0.599494,0,0
171,1051,"primary-tumor","cocomo_numeric",0.823009,0.0555556,0.812598,1,1,0.166667,0.117647,0.121212,0.838432,0.333333,0.761905,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1481,"primary-tumor","kr-vs-k",0.987917,0.611111,0.995301,1,1,0.777778,0.428571,0.660819,0.163264,0.5,0.142857,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,382,"primary-tumor","ipums_la_97-small",0.951703,0.704918,0.836325,0,0,0.704918,0,0.934284,0.954003,0.5,0.956967,0,0,0,0,0.722222,0.0586419,0.975303,0.488643,0.992593,0.84663,0.984144,0.671701,0,0
171,576,"primary-tumor","kdd_coil_5",0.0678466,0.333333,0.28481,1,1,0.833333,0.75,0.0333333,0.891071,0.333333,0.809524,1,1,1,1,0.375,0.583333,0.851613,0.840813,0.5,0.533923,0.626667,0.599494,0,0
171,1465,"primary-tumor","breast-tissue",0.687316,0.444444,0.437168,1,1,0.944444,0.9,0.462963,1,0.666667,0.714286,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1567,"primary-tumor","poker-hand",0.999669,0.388889,0.999798,1,1,0.944444,0.909091,0.677778,1,0.8,0.52381,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,489,"primary-tumor","dj30-1985-2003",0.997546,0.5,0.998773,1,1,0.944444,0.888889,0.892593,1,0.933333,0.3,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1037,"primary-tumor","ada_prior",0.92569,0.166667,0.938075,1,1,0.5,0.4,0.704082,0.603636,0,0.461538,1,1,1,1,0.8,0.76,0.432258,0.957811,0.988636,0.847077,0.530667,0.965124,0,0
171,183,"primary-tumor","abalone",0.918841,0.5,0.959421,1,1,0.888889,0.777778,0.792115,0.65379,0.333333,0.25,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,1524,"primary-tumor","vertebra-column",0.0855457,0.611111,0.574731,1,1,0.944444,0.857143,0.37931,1,0,0.904762,1,1,1,1,1,1,1,1,1,1,1,1,1,0
171,552,"primary-tumor","detroit",0.961652,0.222222,0.950695,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1098,"primary-tumor","pubexpendat",0.858407,0.555556,0.681416,1,1,0.944444,0.875,0.93287,1,0.958333,0.5625,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,561,"primary-tumor","cpu",0.383481,0.555556,0.279107,1,1,0.944444,0.875,0.892593,1,0.933333,0.3,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1463,"primary-tumor","blogger",0.705015,0.666667,0.115044,0,0,0.666667,0,0.12069,0.753402,0,0.761905,0,0,0,0,1,1,1,1,1,1,1,1,0,0
171,568,"primary-tumor","kdd_coil_2",0.0678466,0.333333,0.28481,1,1,0.833333,0.75,0.0333333,0.891071,0.333333,0.809524,1,1,1,1,0.375,0.583333,0.851613,0.840813,0.5,0.533923,0.626667,0.599494,0,0
171,1095,"primary-tumor","Cereals",0.772861,0.111111,0.744469,1,1,0.833333,0.8125,0.887597,0.873601,0,0.727273,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1069,"primary-tumor","pc2",0.939345,0.513514,0.875321,1,1,0.944444,0.972973,0.37931,1,0,0.904762,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,4534,"primary-tumor","PhishingWebsites",0.969335,0.419355,0.947188,0,0,0.419355,0,0.299221,0.898889,0,0.857143,0,0,0,0,1,1,1,1,1,1,1,1,0,0
171,1458,"primary-tumor","arcene",0.41003,0.9982,0.998938,1,1,0.944444,0.9999,0.37931,1,0,0.904762,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,1027,"primary-tumor","ESL",0.305328,0.722222,0.807036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1071,"primary-tumor","mw1",0.158809,0.526316,0.436889,1,1,0.944444,0.973684,0.37931,1,0,0.904762,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,1517,"primary-tumor","robot-failures-lp2",0.861357,0.802198,0.972576,1,1,0.944444,0.989011,0.355556,1,0.6,0.761905,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,381,"primary-tumor","ipums_la_98-small",0.954709,0.704918,0.846515,0,0,0.704918,0,0.978987,0.991898,0.5,0.994157,0,0,0,0,0.705882,0.00326795,0.970832,0.355976,0.992424,0.83273,0.98535,0.676535,0,0
